Date,Sessions
"Mar 9, 2026",211
"Mar 30, 2026",200
"Mar 14, 2026",188
"Mar 27, 2026",177
"Mar 23, 2026",176
"Mar 4, 2026",174
"Mar 1, 2026",173
"Mar 3, 2026",171
"Mar 16, 2026",171
"Mar 11, 2026",168
"Mar 5, 2026",167
"Mar 10, 2026",167
"Mar 20, 2026",167
"Mar 12, 2026",164
"Mar 18, 2026",164
"Feb 25, 2026",162
"Mar 17, 2026",160
"Feb 26, 2026",157
"Mar 6, 2026",156
"Mar 15, 2026",156
"Mar 24, 2026",156
"Feb 27, 2026",152
"Feb 28, 2026",152
"Mar 2, 2026",150
"Mar 13, 2026",149
"Mar 25, 2026",148
"Mar 21, 2026",146
"Mar 29, 2026",145
"Mar 31, 2026",144
"Feb 18, 2026",143
"Mar 28, 2026",143
"Mar 19, 2026",142
"Mar 8, 2026",141
"Feb 23, 2026",140
"Mar 26, 2026",140
"Feb 3, 2026",135
"Feb 5, 2026",135
"Feb 16, 2026",134
"Feb 19, 2026",132
"Feb 24, 2026",128
"Feb 4, 2026",127
"Feb 17, 2026",126
"Mar 7, 2026",124
"Mar 22, 2026",119
"Feb 10, 2026",118
"Feb 9, 2026",115
"Feb 2, 2026",114
"Feb 20, 2026",110
"Feb 22, 2026",108
"Feb 12, 2026",107
"Feb 11, 2026",103
"Feb 7, 2026",102
"Feb 14, 2026",101
"Feb 21, 2026",99
"Feb 15, 2026",96
"Feb 6, 2026",95
"Feb 1, 2026",80
"Feb 13, 2026",76
"Feb 8, 2026",75
