Date,Sessions,Event count,Average session duration
"Jan 16, 2025",605,2805,98.58327990743801
"Feb 17, 2025",560,2882,126.60967746428572
"Sep 16, 2025",506,2627,108.11272268379447
"Feb 2, 2025",555,2373,82.63110490990991
"Jan 19, 2025",559,2356,81.08948832021467
"Feb 1, 2025",543,2647,120.49001208839779
"Feb 3, 2025",501,2435,121.42133645708583
"Jun 30, 2025",489,3109,224.9014614151329
"Feb 7, 2025",461,2244,121.96632681778742
"Feb 4, 2025",466,2154,92.7335221223176
"Mar 23, 2025",456,2268,104.93380160964912
"Jan 31, 2025",482,2377,121.2405194232365
"Oct 10, 2025",430,2513,241.0204659232558
"Feb 8, 2025",442,2024,127.40148020361991
"Mar 11, 2025",444,2306,135.34597588963965
"Feb 15, 2025",430,2170,106.33406395581395
"Jan 20, 2025",455,2078,104.48754093626373
"Feb 16, 2025",426,2213,117.06082150938967
"Feb 5, 2025",441,2228,97.2734752494331
"Mar 16, 2025",426,2124,101.7393799882629
"Jan 30, 2025",446,2199,128.68766928475335
"Feb 10, 2025",416,2014,106.50000011057692
"Mar 10, 2025",408,2030,153.1172760661765
"Apr 29, 2025",416,2354,188.15615278365385
"May 21, 2025",393,2272,130.14085001526718
"Jun 29, 2025",411,2289,163.52705002189782
"Jan 15, 2025",420,1973,111.33415880238095
"Mar 15, 2025",405,2200,117.33447169876544
"Feb 13, 2025",420,2160,123.70737129047619
"Jun 28, 2025",413,2076,121.63294363196127
"Mar 22, 2025",409,2036,122.5522742200489
"Jun 10, 2025",398,2714,223.42243832914573
"Jul 7, 2025",424,2686,146.45971198113207
"Mar 1, 2025",391,1943,114.32038024552429
"May 31, 2025",416,2404,152.4102920456731
"May 19, 2025",388,2320,121.30785507216494
"May 10, 2025",394,2093,144.55550408121826
"Feb 6, 2025",407,1987,123.97107592628993
"Feb 12, 2025",422,2134,101.99509197393364
"Jan 17, 2025",419,1907,91.36969581145584
"Jun 2, 2025",407,2516,151.30959445208845
"May 18, 2025",384,2422,127.87296638281249
"May 25, 2025",384,2194,124.5206559609375
"Jul 1, 2025",396,2300,323.1793906540404
"Apr 28, 2025",390,2007,122.4932819846154
